BESTQuarterlyRevenueYear,BESTQuarterlyRevenueDollars
2020-09-30,1280000000.0
2020-06-30,1192000000.0
2020-03-31,772000000.0
2019-12-31,1525000000.0
2019-09-30,1224000000.0
2019-06-30,1280000000.0
2019-03-31,1024000000.0
2018-12-31,1205000000.0
2018-09-30,1047000000.0
2018-06-30,1017000000.0
2018-03-31,798000000.0
2017-09-30,805000000.0
2017-03-31,472000000.0
2016-12-31,0.0
