Date, Close/Last, Volume, Open, High, Low
01/26/2021, $26.86, 3390666, $27.41, $27.96, $26.79
01/25/2021, $27.26, 5208525, $27.34, $27.89, $26.07
01/22/2021, $27.67, 3078762, $26.8, $27.69, $26.66
01/21/2021, $27.47, 5509268, $27.32, $27.7, $26.53
01/20/2021, $27.79, 5077732, $26.89, $27.9, $26.66
01/19/2021, $26.65, 3456175, $26.27, $26.79, $26.0548
01/15/2021, $25.73, 4730624, $26.5, $27.04, $25.71
01/14/2021, $27.21, 8306121, $25.5, $27.77, $25.445
01/13/2021, $25.16, 3092565, $25, $25.35, $24.53
01/12/2021, $25.17, 3399510, $24.5, $25.4, $24.2615
01/11/2021, $24.43, 3125979, $23.81, $24.44, $23.62
01/08/2021, $24.45, 4012483, $24.82, $24.84, $24.11
01/07/2021, $24.47, 3552067, $24.49, $24.94, $24.35
01/06/2021, $24.3, 4795676, $23.42, $24.8213, $23.42
01/05/2021, $23.84, 3982102, $22.93, $24.3, $22.87
01/04/2021, $23.06, 5786092, $24.75, $24.76, $22.93
12/31/2020, $24.45, 3548551, $24.7, $24.8914, $24.21
12/30/2020, $24.87, 3427572, $24.62, $25.34, $24.56
12/29/2020, $24.68, 3917613, $25.42, $25.57, $24.52
12/28/2020, $25.07, 4295602, $24.96, $25.47, $24.6202
12/24/2020, $24.42, 2618194, $24.79, $24.83, $24.054
12/23/2020, $24.55, 3952620, $24.2, $24.93, $24.2
12/22/2020, $24.04, 6457531, $25.43, $25.54, $24
12/21/2020, $25.37, 7060216, $25, $25.48, $24.54
12/18/2020, $25.88, 6798564, $26.46, $26.68, $25.82
12/17/2020, $26.57, 5934483, $26.34, $26.96, $25.9324
12/16/2020, $26.16, 8929249, $25.81, $26.61, $25.17
12/15/2020, $26.68, 6220375, $26.3, $26.829, $25.575
12/14/2020, $25.99, 7026502, $26.95, $27, $25.53
12/11/2020, $26.23, 16229450, $27.26, $27.45, $25.58
12/10/2020, $27.03, 6451558, $25.4, $27.2, $25.2771
12/09/2020, $26.14, 12366090, $26.94, $27.48, $25.75
12/08/2020, $26.3, 7096425, $25.29, $26.33, $25.14
12/07/2020, $25.41, 9366605, $25.6, $26.2146, $25.16
12/04/2020, $25.76, 10464670, $25.11, $25.98, $24.82
12/03/2020, $24.53, 12405710, $23.5, $25.28, $23.5
12/02/2020, $23.12, 6213723, $22.31, $23.24, $22.18
12/01/2020, $22.57, 7985382, $22.72, $23.215, $22.47
11/30/2020, $22.63, 9461592, $23.31, $23.42, $21.83
11/27/2020, $23.37, 5034723, $23.25, $23.54, $22.88
11/25/2020, $22.98, 9100906, $22.76, $23.07, $21.85
11/24/2020, $22.88, 11418710, $22, $22.9, $21.81
11/23/2020, $21.07, 7780950, $20.7, $21.14, $20.56
11/20/2020, $20.33, 6377589, $20.69, $20.8361, $20.0604
11/19/2020, $20.89, 6166767, $20.33, $21, $20.1599
11/18/2020, $20.31, 9940457, $20.66, $21.7, $20.31
11/17/2020, $20.19, 6579766, $19.87, $20.55, $19.59
11/16/2020, $20.43, 13841320, $21.355, $21.36, $19.96
11/13/2020, $19.73, 11697910, $18.39, $19.99, $18.385
11/12/2020, $18.11, 11611820, $18.72, $19.29, $17.9799
11/11/2020, $19.4, 8216887, $20.01, $20.0613, $19.12
11/10/2020, $20.17, 13026560, $21.13, $21.6061, $19.7
11/09/2020, $21.31, 24303900, $21.44, $22.98, $20.19
11/06/2020, $17.69, 5343971, $17.71, $17.84, $17.34
11/05/2020, $17.95, 7153156, $17.41, $18.05, $17.32
11/04/2020, $17.22, 5614314, $17.3, $17.85, $17.03
11/03/2020, $17.7, 6017920, $17.77, $18.19, $17.555
11/02/2020, $17.6, 6840129, $17.52, $17.7199, $16.8017
10/30/2020, $17.57, 11339880, $17.28, $17.985, $16.96
10/29/2020, $17.04, 13417400, $15.75, $17.3382, $15.63
10/28/2020, $15.56, 11594660, $16, $16.2, $15.45
10/27/2020, $16.53, 5557160, $17.1, $17.2783, $16.51
10/26/2020, $17.13, 9267622, $18.09, $18.16, $16.73
10/23/2020, $18.58, 10883150, $17.73, $18.7, $17.72
10/22/2020, $17.96, 16419740, $16.53, $18.15, $16.51
10/21/2020, $16.41, 8862149, $16.98, $16.99, $16.25
10/20/2020, $17.11, 7155931, $16.7, $17.2222, $16.54
10/19/2020, $16.4, 6611864, $16.4, $16.87, $16.1602
10/16/2020, $16.18, 5748609, $16.14, $16.41, $16
10/15/2020, $16.1, 8677959, $16.27, $16.33, $15.85
10/14/2020, $16.44, 5599751, $16.25, $16.81, $16.25
10/13/2020, $16.2, 8095715, $16.37, $16.4772, $16.08
10/12/2020, $16.7, 5863834, $17.03, $17.16, $16.7
10/09/2020, $17.27, 7818996, $17, $17.35, $16.7
10/08/2020, $17.04, 10565900, $17, $17.35, $16.58
10/07/2020, $16.55, 10517640, $16.5, $16.61, $16.05
10/06/2020, $15.75, 11283310, $16.6, $16.82, $15.75
10/05/2020, $16.38, 8062968, $16.66, $16.83, $16.23
10/02/2020, $16.71, 13790190, $15.5, $16.82, $15.46
10/01/2020, $16.38, 5104509, $16.3, $16.46, $16.05
09/30/2020, $16.1, 8047198, $16.18, $16.84, $16.06
09/29/2020, $16.02, 7278223, $16.4, $16.42, $15.86
09/28/2020, $16.53, 7106164, $16.68, $17.045, $16.28
09/25/2020, $16.2, 5318559, $15.65, $16.26, $15.62
09/24/2020, $15.71, 8803497, $15.93, $16, $15.055
09/23/2020, $16.08, 6103044, $16.68, $17.25, $16.08
09/22/2020, $16.55, 4972514, $16.33, $16.76, $16.2
09/21/2020, $16.23, 14242080, $17.26, $17.29, $15.9
09/18/2020, $17.7, 7024044, $18.03, $18.18, $17.52
09/17/2020, $18.1, 5784758, $18.32, $18.78, $18.04
09/16/2020, $18.55, 8707226, $18.12, $18.9, $17.71
09/15/2020, $18.08, 6537732, $17.86, $18.495, $17.82
09/14/2020, $17.83, 7048336, $17.53, $17.9, $17.26
09/11/2020, $17.28, 6084088, $17.52, $17.75, $17.05
09/10/2020, $17.48, 7950090, $17.59, $18.05, $17.39
09/09/2020, $17.54, 12997050, $18.07, $18.262, $17.28
09/08/2020, $18.37, 11239000, $17.51, $18.94, $17.35
09/04/2020, $17.88, 12408740, $18.01, $18.25, $16.955
09/03/2020, $17.73, 14574650, $17.93, $18.73, $17.19
09/02/2020, $17.61, 9388425, $17.52, $17.73, $17.055
09/01/2020, $17.59, 9620491, $17.6, $18.07, $17.3
08/31/2020, $17.88, 9822618, $18.43, $18.675, $17.85
08/28/2020, $18.49, 9456696, $18.65, $18.65, $18.08
08/27/2020, $18.31, 13763050, $18.24, $19.19, $18.06
08/26/2020, $17.7, 4765547, $17.9, $18.12, $17.655
08/25/2020, $17.99, 8610615, $18.48, $18.64, $17.57
08/24/2020, $18.21, 13389730, $17.16, $18.52, $17.035
08/21/2020, $16.98, 5628172, $17.15, $17.42, $16.85
08/20/2020, $17.21, 5460031, $16.95, $17.3487, $16.73
08/19/2020, $17.19, 8801594, $17.47, $18.1357, $17.16
08/18/2020, $17.32, 5844253, $17.06, $17.4, $16.81
08/17/2020, $17.06, 6854273, $17.7, $17.77, $16.79
08/14/2020, $17.76, 5311789, $17.41, $17.88, $17.23
08/13/2020, $17.55, 7051311, $17.48, $18.3474, $17.38
08/12/2020, $17.85, 9142151, $18.37, $18.54, $17.311
08/11/2020, $18.04, 16288500, $19.55, $19.55, $17.89
08/10/2020, $18.3, 14411390, $17.53, $18.66, $17.5087
08/07/2020, $17.28, 7823813, $16.97, $17.33, $16.77
08/06/2020, $17.26, 10967270, $17.3, $17.6499, $16.8387
08/05/2020, $17.15, 16143430, $16.95, $17.52, $16.4
08/04/2020, $16.5, 15034920, $15.46, $16.94, $15.45
08/03/2020, $15.37, 15842450, $15.74, $15.8, $14.65
07/31/2020, $15.81, 11920470, $16.04, $16.265, $15.42
07/30/2020, $16.24, 8206604, $16.1, $16.38, $15.94
07/29/2020, $16.45, 8039296, $16.56, $16.72, $16.1301
07/28/2020, $16.54, 10390070, $16.07, $16.97, $16.06
07/27/2020, $16.15, 11741090, $16.49, $16.84, $16.01
07/24/2020, $16.47, 12735360, $16.81, $16.81, $16.16
07/23/2020, $16.84, 25061640, $16.51, $17.82, $15.925
