Date, Close/Last, Volume, Open, High, Low
01/26/2021, $45.81, 5667206, $45.75, $46.22, $45.6
01/25/2021, $45.62, 13345650, $47.28, $47.34, $45.17
01/22/2021, $47.39, 4812538, $47.18, $47.75, $47.07
01/21/2021, $47.77, 5663916, $47.75, $47.94, $47.12
01/20/2021, $48.21, 6972479, $47.1, $48.445, $46.8975
01/19/2021, $46.91, 4780727, $47.2, $47.65, $46.76
01/15/2021, $46.66, 7359133, $48.58, $48.71, $46.64
01/14/2021, $48.82, 8090560, $48.65, $49.47, $48.44
01/13/2021, $47.99, 6261899, $47.89, $48.4337, $47.48
01/12/2021, $48.13, 5356833, $47.7, $48.48, $47.28
01/11/2021, $47.44, 7914469, $46.51, $48.04, $46.12
01/08/2021, $46.98, 4770550, $47.64, $47.9365, $46.71
01/07/2021, $47.33, 6282279, $46.75, $47.84, $46.73
01/06/2021, $46.75, 7492848, $45.5, $46.97, $45.37
01/05/2021, $45.64, 5204379, $44.9, $46.117, $44.84
01/04/2021, $45.04, 10256260, $46.48, $46.54, $44.5601
12/31/2020, $46.61, 5305619, $46.18, $46.78, $45.68
12/30/2020, $46.41, 4845590, $46.21, $46.93, $46.125
12/29/2020, $46.15, 4749482, $46.35, $46.77, $45.97
12/28/2020, $46.12, 5476643, $46.87, $47.17, $46.11
12/24/2020, $46.28, 2973402, $47, $47.09, $45.81
12/23/2020, $46.75, 6474189, $45.47, $47.1, $45.47
12/22/2020, $45.32, 4566490, $46, $46.15, $44.98
12/21/2020, $45.8, 7656946, $44.76, $46.13, $44.45
12/18/2020, $46.03, 8398053, $46.22, $46.34, $45.66
12/17/2020, $46.39, 6368733, $45.8, $46.4, $45.45
12/16/2020, $45.73, 6441829, $46.42, $46.42, $45.2699
12/15/2020, $46.42, 5975746, $45.68, $46.49, $44.9529
12/14/2020, $45.26, 6939733, $46.58, $46.6, $45.24
12/11/2020, $45.88, 7638023, $46, $46.59, $45.1596
12/10/2020, $46.8, 8322932, $45.09, $46.995, $45.02
12/09/2020, $45.76, 20733720, $47.34, $47.54, $45.25
12/08/2020, $47.28, 9132133, $47.3, $47.925, $47.06
12/07/2020, $47.89, 8097443, $48.34, $48.43, $47.505
12/04/2020, $47.59, 7615787, $48.37, $48.79, $47.07
12/03/2020, $47.82, 9892202, $47.95, $49.53, $47.66
12/02/2020, $47.44, 6054713, $46.88, $47.76, $46.46
12/01/2020, $47.27, 7547960, $46.55, $48.09, $46.5
11/30/2020, $46.34, 8791523, $47.65, $47.7, $46.04
11/27/2020, $47.73, 4051900, $48.25, $48.74, $47.65
11/25/2020, $48.27, 7281760, $48.47, $48.57, $47.5
11/24/2020, $48.25, 12108810, $48.9, $49.23, $47.6491
11/23/2020, $46.81, 10113040, $46.11, $46.95, $45.28
11/20/2020, $45.54, 6595685, $46.05, $46.05, $45.035
11/19/2020, $46.08, 6628562, $45.53, $46.46, $45.41
11/18/2020, $45.6, 11424710, $46.82, $47.28, $45.6
11/17/2020, $45.66, 8384508, $44.86, $46.24, $44.43
11/16/2020, $45.58, 14330010, $46.06, $46.2, $44.54
11/13/2020, $43.88, 7857464, $42.17, $44.145, $42.11
11/12/2020, $41.92, 11057500, $41.78, $43.28, $41.4
11/11/2020, $43.22, 10332750, $44.9, $44.91, $42.66
11/10/2020, $44.81, 16842550, $43.88, $45.12, $43.33
11/09/2020, $43.89, 30140190, $46.85, $49.47, $43.79
11/06/2020, $40.01, 5993329, $40.74, $40.93, $39.77
11/05/2020, $41.05, 8070248, $39.44, $41.2489, $39.38
11/04/2020, $38.93, 8999852, $38.85, $39.65, $38.05
11/03/2020, $38.85, 7275288, $39.23, $39.4, $38.665
11/02/2020, $38.4, 11362010, $39.93, $39.94, $37.95
10/30/2020, $39.53, 11258520, $39.39, $40.2, $38.98
10/29/2020, $39.57, 8383606, $38.09, $39.87, $37.95
10/28/2020, $38.14, 12101010, $38.87, $39.38, $37.48
10/27/2020, $39.93, 6525138, $40.7, $41.02, $39.78
10/26/2020, $41.1, 9712881, $42.08, $42.475, $40.395
10/23/2020, $42.79, 12518730, $42.04, $43.39, $41.53
10/22/2020, $41.93, 13663910, $40.13, $42.55, $40.08
10/21/2020, $39.84, 6532598, $40, $40.17, $39.53
10/20/2020, $40.16, 7203938, $40.5, $40.9, $40.08
10/19/2020, $39.85, 8592233, $40, $40.75, $39.566
10/16/2020, $39.68, 7334812, $39.03, $39.885, $39.01
10/15/2020, $38.8, 4496037, $38.65, $38.9, $38.142
10/14/2020, $39.25, 6908648, $39.25, $39.99, $39.16
10/13/2020, $39.13, 8839351, $38.7, $39.44, $38.58
10/12/2020, $39.19, 7378491, $39.49, $39.89, $39.05
10/09/2020, $39.73, 10501830, $38.94, $39.8, $38.6
10/08/2020, $38.99, 9138834, $39, $39.6, $38.03
10/07/2020, $38.59, 8679318, $38, $38.735, $37.71
10/06/2020, $37.58, 10136040, $38.97, $39.335, $37.535
10/05/2020, $38.49, 9304308, $39.16, $39.24, $38.17
10/02/2020, $38.76, 11937400, $36.14, $39.32, $36.05
10/01/2020, $37.93, 8186768, $37.96, $38.26, $37.39
09/30/2020, $37.5, 10144880, $38.33, $39.08, $37.4
09/29/2020, $37.61, 5263511, $38.05, $38.05, $37.19
09/28/2020, $38.24, 9235159, $38.07, $39.11, $37.57
09/25/2020, $37.1, 9297277, $36.41, $37.28, $36.31
09/24/2020, $36.86, 10798770, $37.03, $37.42, $35.82
09/23/2020, $37.55, 6797506, $38.39, $39.275, $37.48
09/22/2020, $38.12, 10740040, $37.35, $38.1978, $37.11
09/21/2020, $37.52, 14266940, $38.05, $38.47, $36.75
09/18/2020, $39.83, 21206270, $39.77, $40.51, $39.31
09/17/2020, $40.4, 15234640, $41.31, $41.995, $40.085
09/16/2020, $42.1, 19858500, $40.52, $42.88, $40.275
09/15/2020, $40.61, 10131160, $40.26, $40.98, $40.1
09/14/2020, $40.06, 9680749, $39.35, $40.25, $39.063
09/11/2020, $38.95, 8044874, $39.05, $39.41, $38.68
09/10/2020, $38.94, 9024766, $39.52, $39.95, $38.865
09/09/2020, $39.22, 12211510, $40.09, $40.44, $38.81
09/08/2020, $40.5, 15808630, $39.18, $40.8, $39.18
09/04/2020, $39.39, 15543430, $39.19, $40.0699, $38.06
09/03/2020, $38.74, 16721370, $39.28, $40.655, $37.85
09/02/2020, $39.17, 11157420, $38.57, $39.34, $37.68
09/01/2020, $37.91, 10884670, $36.84, $38.67, $36.5606
08/31/2020, $37.58, 9824277, $38.75, $38.81, $37.58
08/28/2020, $38.81, 14082630, $38.11, $39.06, $37.59
08/27/2020, $37.65, 14342550, $37.54, $38.88, $37.313
08/26/2020, $36.38, 7938202, $36.91, $37.07, $36.325
08/25/2020, $37.06, 11774020, $37.43, $37.5, $36.34
08/24/2020, $36.91, 15211940, $35.29, $36.94, $34.96
08/21/2020, $34.69, 11435500, $34.3, $35.19, $34.28
08/20/2020, $34.46, 9149336, $33.65, $34.575, $33.48
08/19/2020, $34.27, 14959370, $34.91, $35.78, $34.145
08/18/2020, $34.16, 7256144, $33.82, $34.25, $33.54
08/17/2020, $33.81, 8113529, $35.06, $35.18, $33.7927
08/14/2020, $34.9, 7373448, $34.3, $35.13, $34.2
08/13/2020, $34.71, 8576839, $34.71, $35.6999, $34.6213
08/12/2020, $35.25, 13028990, $35.83, $36.08, $34.3611
